pid,agency,agencyId,title,deadline,reference,budget,details,oneLiner,keywords
6030,nsf,nsf19596,NSF DOE Partnership in Basic Plasma Science and Engineering,11/18/2019,https://www.nsf.gov/pubs/2019/nsf19596/nsf19596.htm,"3,000,000",Plasma Physics is a study of matter and physical systems whose intrinsic properties are governed by collective interactions of large ensembles of free charged particles . 99 . 9 of the visible Universe is thought to consist of plasmas . The underlying physics of the collective behavior in plasmas has applications to space physics and astrophysics materials science applied mathematics fusion science accelerator science and many branches of engineering . The National Science Foundation NSF with participation of the Directorates for Engineering Geosciences and Mathematical and Physical Sciences and the Department of Energy Office of Science Fusion Energy Sciences are continuing the joint Partnership in Basic Plasma Science and Engineering begun in FY1997 and renewed several times since . As stated in the original solicitation NSF 97 39 which is superseded by the present solicitation the goal of the Partnership is to enhance basic plasma science research and education in this broad multidisciplinary field by coordinating efforts and combining resources of the two agencies . The current solicitation also encourages submission of proposals to perform basic plasma experiments at NSF and or DOE supported user facilities including facilities located at DOE national laboratories designed to serve the needs of the broader plasma science and engineering community .,The underlying physics of the collective behavior in plasmas has applications to space physics and astrophysics materials science applied mathematics fusion science accelerator science and many branches of engineering .,"[""science"",""solicitation"",""cience"",""he"",""plasma""]"
6031,nsf,nsf10549,NSF DOE Partnership on Thermoelectric Devices for Vehicle Applications 2010 Solicitation,6/22/2010,https://www.nsf.gov/pubs/2010/nsf10549/nsf10549.htm,"1,000,000",The Directorate for Engineering at the National Science Foundation has established a partnership with the U . S . Department of Energy Vehicle Technologies Program in order to address critical fundamental and applied research challenges associated with harvesting waste heat in vehicle applications . The goal of the partnership is to leverage the complementary missions of deployment and commercialization DOE and fundamental research and education NSF to address issues of national importance that impact our reliance on foreign sources of oil . The Directorate for Engineering seeks proposals with transformative ideas that will impact national needs and priorities in energy conservation and climate change specifically as pertains to novel thermoelectric devices and systems for harvesting waste heat in vehicle applications . Proposals must meet the detailed requirements delineated in this solicitation .,The Directorate for Engineering seeks proposals with transformative ideas that will impact national needs and priorities in energy conservation and climate change specifically as pertains to novel thermoelectric devices and systems for harvesting waste heat in vehicle applications .,"[""he"",""applications"",""address"",""harvesting"",""irectorate"",""partnership"",""heat""]"
6037,nsf,nsf03525,NSF FDA SCHOLAR IN RESIDENCE AT FDA,,https://www.nsf.gov/pubs/2003/nsf03525/nsf03525.htm,"500,000",The National Science Foundation NSF through the Directorate for Engineering s Division of Bioengineering and Environmental Systems BES and the U . S . Food and Drug Administration FDA through its Center for Devices and Radiological Health CDRH are establishing the NSF FDA Scholar in Residence Program at FDA . This program comprises an interagency partnership for the investigation of scientific and engineering issues concerning emerging trends in medical device technology . This partnership is designed to enable investigators in science engineering and mathematics to develop research collaborations within the intramural research environment at the FDA . This solicitation features four flexible mechanisms for support of research at the FDA 1 Faculty at FDA 2 Graduate Student Fellowships 3 Postdoctoral Fellowships and 4 Undergraduate Student Research Experiences . Undergraduate student participants supported with NSF funds must be citizens or permanent residents of the United States .,This partnership is designed to enable investigators in science engineering and mathematics to develop research collaborations within the intramural research environment at the FDA .,"[""his"",""research""]"
6038,nsf,nsf10533,NSF FDA Scholar in Residence at FDA,2007-1-69,https://www.nsf.gov/pubs/2010/nsf10533/nsf10533.htm,"500,000",The National Science Foundation NSF through the Directorate for Engineering s Division of Chemical Bioengineering Environmental and Transport Systems CBET and the U . S . Food and Drug Administration FDA through its Center for Devices and Radiological Health CDRH have established the NSF FDA Scholar in Residence Program at FDA . This program comprises an interagency partnership for the investigation of scientific and engineering issues concerning emerging trends in medical device technology . This partnership is designed to enable investigators in science engineering and mathematics to develop research collaborations within the intramural research environment at the FDA . This solicitation features four flexible mechanisms for support of research at the FDA 1 Faculty at FDA 2 Graduate Student Fellowships 3 Postdoctoral Fellowships and 4 Undergraduate Student Research Experiences . Undergraduate student participants supported with NSF funds must be citizens or permanent residents of the United States .,This partnership is designed to enable investigators in science engineering and mathematics to develop research collaborations within the intramural research environment at the FDA .,"[""research"",""his""]"
6042,nsf,nsf18556,NSF FDA Scholar in Residence at FDA,2/25/2019,https://www.nsf.gov/pubs/2018/nsf18556/nsf18556.htm,"750,000",The National Science Foundation NSF through the Directorate for Engineering the Directorate of Computer and Information Science and Engineering Division of Computer and Network Systems and the Directorate for Mathematical and Physical Sciences Division of Materials Research along with the U . S . Food and Drug Administration FDA through its Center for Devices and Radiological Health CDRH have established the NSF FDA Scholar in Residence Program at FDA . This program comprises an interagency partnership for the investigation of scientific and engineering issues concerning emerging trends in medical device technology . This partnership is designed to enable investigators in science engineering and computer science to develop research collaborations within the intramural research environment at the FDA . This solicitation features three flexible mechanisms for support of research at the FDA 1 Principal Investigators at FDA 2 Postdoctoral Researchers at FDA and 3 Graduate Students at FDA .,This program comprises an interagency partnership for the investigation of scientific and engineering issues concerning emerging trends in medical device technology .,"[""irectorate"",""his"",""research""]"
6043,nsf,nsf17597,NSF Intel Partnership on Foundational Microarchitecture Research FoMR,1/12/2018,https://www.nsf.gov/pubs/2017/nsf17597/nsf17597.htm,"up to $500,000",The confluence of transistor scaling increases in the number of architecture designs per process generation the slowing of clock frequency growth and recent success in research exploiting Thread Level Parallelism TLP and Data Level Parallelism DLP all point to an increasing opportunity for innovative microarchitecture techniques and methodologies in delivering performance growth in the future . The NSF Intel Partnership on Foundational Microarchitecture Research will support transformative microarchitecture research targeting improvements in instructions per cycle IPC . This solicitation seeks microarchitecture technique innovations beyond simplistic incremental scaling of existing microarchitectural structures . Specifically FoMR seeks to advance research that has the following characteristics 1 high IPC techniques ranging from microarchitecture to code generation 2 microarchitecture turbo techniques that marshal chip resources and system memory bandwidth to accelerate sequential or single threaded programs and 3 techniques to support efficient compiler code generation . Advances in these areas promise to provide significant performance improvements to continue the cadence promised by Moore s Law .,The confluence of transistor scaling increases in the number of architecture designs per process generation the slowing of clock frequency growth and recent success in research exploiting Thread Level Parallelism TLP and Data Level Parallelism DLP all point to an increasing opportunity for innovative microarchitecture techniques and methodologies in delivering performance growth in the future .,"[""microarchitecture"",""techniques"",""generation"",""research""]"
6044,nsf,nsf18588,NSF Intel Partnership on Foundational Microarchitecture Research FoMR,11/28/2018,https://www.nsf.gov/pubs/2018/nsf18588/nsf18588.htm,"up to $500,000",The confluence of transistor scaling increases in the number of architecture designs per process generation the slowing of clock frequency growth and recent success in research exploiting thread level parallelism TLP and data level parallelism DLP all point to an increasing opportunity for innovative microarchitecture techniques and methodologies in delivering performance growth in the future . The NSF Intel Partnership on Foundational Microarchitecture Research will support transformative microarchitecture research targeting improvements in instructions per cycle IPC . This solicitation seeks microarchitecture technique innovations beyond simplistic incremental scaling of existing microarchitectural structures . Specifically FoMR seeks to advance research that has the following characteristics 1 high IPC techniques ranging from microarchitecture to code generation 2 microarchitecture turbo techniques that marshal chip resources and system memory bandwidth to accelerate sequential or single threaded programs and 3 techniques to support efficient compiler code generation . Advances in these areas promise to provide significant performance improvements that continue the trends characterized by Moore s Law .,The confluence of transistor scaling increases in the number of architecture designs per process generation the slowing of clock frequency growth and recent success in research exploiting thread level parallelism TLP and data level parallelism DLP all point to an increasing opportunity for innovative microarchitecture techniques and methodologies in delivering performance growth in the future .,"[""microarchitecture"",""techniques"",""research"",""generation""]"
6048,nsf,nsf19598,NSF Intel Partnership on Foundational Microarchitecture Research FoMR,,https://www.nsf.gov/pubs/2019/nsf19598/nsf19598.htm,"up to $500,000",The confluence of transistor scaling increases in the number of architecture designs per process generation the slowing of clock frequency growth and recent success in research exploiting thread level parallelism TLP and data level parallelism DLP all point to an increasing opportunity for innovative microarchitecture techniques and methodologies in delivering performance growth in the future . The NSF Intel Partnership on Foundational Microarchitecture Research will support transformative microarchitecture research targeting improvements in instructions per cycle IPC . This solicitation seeks microarchitecture technique innovations beyond simplistic incremental scaling of existing microarchitectural structures . Specifically FoMR seeks to advance research that has the following characteristics 1 high IPC techniques ranging from microarchitecture to code generation 2 microarchitecture turbo techniques that marshal chip resources and system memory bandwidth to accelerate sequential or single threaded programs and 3 techniques to support efficient compiler code generation . Advances in these areas promise to provide significant performance improvements that continue the trends characterized by Moore s Law .,The confluence of transistor scaling increases in the number of architecture designs per process generation the slowing of clock frequency growth and recent success in research exploiting thread level parallelism TLP and data level parallelism DLP all point to an increasing opportunity for innovative microarchitecture techniques and methodologies in delivering performance growth in the future .,"[""microarchitecture"",""techniques"",""generation"",""research""]"
6049,nsf,nsf02188,NSF ONR Partnership in Electric Power Networks Efficiency and Security EPNES,,https://www.nsf.gov/pubs/2002/nsf02188/nsf02188.htm,,The National Science Foundation NSF and the Office of Naval Research ONR announce an interdisciplinary solicitation aimed at building new partnerships focused on achieving efficient and secure electric power networks under uncertain demands . The NSF organizations participating in this solicitation include the Division of Electrical and Communication Systems ECS and Division of Bioengineering and Environmental Systems BES of the Directorate for Engineering ENG the Division of Social and Economic Sciences SES of the Directorate for Social Behavioral and Economic Sciences SBE and the Division of Undergraduate Education DUE of the Directorate for Education and Human Resources EHR . The ONR organizations in this solicitation include the Department of Engineering Materials and Physical Sciences EMPS and the Division for Ship Hull Mechanical and Electrical Systems SHMES . NSF and or ONR will make awards . Electric power systems are prototypical socio technical systems meaning that their technical social economic political and cultural elements are tightly interwoven and impinge directly and forcefully upon each other . The goal of this solicitation is to build interdisciplinary partnerships which allow more unified coherent research to ensure reliable secure and efficient electric power networks . In addition this program will address socio economic issues environmental issues new pedagogy and curricula to prepare a future workforce and development of integrated tools provided by ONR or a credible utility system .,The National Science Foundation NSF and the Office of Naval Research ONR announce an interdisciplinary solicitation aimed at building new partnerships focused on achieving efficient and secure electric power networks under uncertain demands .,"[""ivision"",""he"",""solicitation"",""irectorate""]"
6051,nsf,nsf03556,NSF USDOT Partnership for Exploratory Basic Research on Information and Communications Systems for Surface Transportation ICSST,6/11/2003,https://www.nsf.gov/pubs/2003/nsf03556/nsf03556.htm,"1,150,000",The Directorate for Engineering of the National Science Foundation NSF announces the third year of this program jointly sponsored with the U . S . Department of Transportation USDOT for Exploratory Basic Research on Information and Communications Systems for Surface Transportation . The NSF USDOT program offers a flexible vehicle for pursuing potentially high risk and high payoff research . Research topics must target innovative strategies for exploiting state of the art information and information communication technologies in surface transportation systems to meet the challenges and constraints associated with mobility . One aspect of this program is intended to foster innovative uses of technology in all modes of surface transportation in a spirit similar to Intelligent Transportation Systems . It is also meant to spur integrative multidisciplinary research needed to understand and manage the complexity and vulnerability of surface transportation systems and their interactions with natural social and economic systems . Note significant changes in eligibility and funding from last year .,Research topics must target innovative strategies for exploiting state of the art information and information communication technologies in surface transportation systems to meet the challenges and constraints associated with mobility .,"[""program"",""esearch"",""surface"",""systems"",""research"",""transportation"",""ransportation""]"
6061,nsf,nsf10530,Ocean Acidification,4/26/2010,https://www.nsf.gov/pubs/2010/nsf10530/nsf10530.htm,"12,000,000",Since the publication of The Royal Society s report Ocean Acidification Due to Increasing Atmospheric Carbon Dioxide June 2005 http www . royalsoc . ac . uk there has been growing concern for the potential adverse impacts of a slowly acidifying sea upon marine ecosystems . In recognition of the need for basic research concerning the nature extent and impact of ocean acidification on oceanic environments in the past present and future this announcement has the following broad goals To understand the chemistry and physical chemistry of ocean acidification and in particular its interplay with fundamental biochemical and physiological processes of organisms To understand how ocean acidification interacts with processes at the organismal level and how such interactions impact the structure and function of ecosystems e . g . through life histories food webs biogeochemical cycling and other interactions To understand how the earth system history informs our understanding of the effects of ocean acidification on the present day and future ocean . New research frontiers require the development of interdisciplinary partnerships and capacity building within the scientific community . Accordingly full research proposals exploratory proposals and community development efforts such as workshops and symposia all are encouraged . Proposals must clearly demonstrate links between the research outcome and the emphasis areas described within the solicitation . Preference will be given to proposals that create new partnerships across traditional disciplines including molecular and cellular biology physiology marine chemistry and physics ecological sciences paleoecology and earth system history and use diverse approaches observational systems experimental studies theory and modeling to examine cutting edge research questions related to ocean acidification .,In recognition of the need for basic research concerning the nature extent and impact of ocean acidification on oceanic environments in the past present and future this announcement has the following broad goals To understand the chemistry and physical chemistry of ocean acidification and in particular its interplay with fundamental biochemical and physiological processes of organisms To understand how ocean acidification interacts with processes at the organismal level and how such interactions impact the structure and function of ecosystems e .,"[""research"",""ocean"",""acidification""]"
6062,nsf,nsf12500,Ocean Acidification OA,1/6/2012,https://www.nsf.gov/pubs/2012/nsf12500/nsf12500.htm,"10,000,000",The need for understanding the potential adverse impacts of a slowly acidifying sea upon marine ecosystems is widely recognized and included as a priority objective in the new National Ocean Policy . The effects of ocean acidification could significantly affect strategies for developing practices towards the sustainability of ocean resources . Basic research concerning the nature extent and impact of ocean acidification on oceanic environments in the past present and future is required . Research challenges include Understanding the geochemistry and biogeochemistry of ocean acidification Understanding how ocean acidification interacts with biological and physical processes at the organismal level and how such interactions impact the structure and function of ecosystems e . g . through life histories food webs biogeochemical cycling and other interactions andUnderstanding how the earth system history informs our understanding of the effects of ocean acidification on the present day and future ocean . Timely efforts to address these research challenges require fundamental research offered through this solicitation 1 Regular research proposals 2 Research Coordination Networks RCN and 3 EArly concept Grants for Exploratory Research EAGER .,through life histories food webs biogeochemical cycling and other interactions andUnderstanding how the earth system history informs our understanding of the effects of ocean acidification on the present day and future ocean .,"[""ocean"",""acidification"",""esearch"",""research""]"
6065,nsf,nsf12600,Ocean Acidification OA,12/4/2012,https://www.nsf.gov/pubs/2012/nsf12600/nsf12600.htm,"10,000,000",The need for understanding the potential adverse impacts of a slowly acidifying sea upon marine ecosystems is widely recognized and included as a priority objective in the new National Ocean Policy . The effects of ocean acidification could significantly affect strategies for developing practices towards the sustainability of ocean resources . Basic research concerning the nature extent and impact of ocean acidification on oceanic environments in the past present and future is required . Research challenges include Understanding the geochemistry and biogeochemistry of ocean acidification Understanding how ocean acidification interacts with biological chemical and physical processes at the organismal level and how such interactions impact the structure and function of ecosystems e . g . through life histories food webs biogeochemical cycling and interactions with other changes in the ocean e . g . temperature stratification circulation patterns andUnderstanding how the earth system history informs our understanding of the effects of ocean acidification on the present day and future ocean .,temperature stratification circulation patterns andUnderstanding how the earth system history informs our understanding of the effects of ocean acidification on the present day and future ocean .,"[""ocean"",""acidification"",""nderstanding"",""effects"",""impact""]"
6067,nsf,nsf13586,Ocean Acidification OA,12/3/2013,https://www.nsf.gov/pubs/2013/nsf13586/nsf13586.htm,"11,250,000",The new National Ocean Policy calls for actions to improve understanding of and capacity to respond to ocean acidification recognizing the potential adverse impacts of an acidifying sea upon marine ecosystems . The effects of ocean acidification could significantly affect strategies for developing practices towards the sustainability of ocean resources . Basic research concerning the nature extent and impact of ocean acidification on oceanic environments in the past present and future is required . Research challenges include Understanding the geochemistry and biogeochemistry of ocean acidification Understanding how ocean acidification interacts with biological chemical and physical processes at the organismal level and how such interactions impact the structure and function of ecosystems e . g . through life histories adaptive evolution food webs biogeochemical cycling and interactions with other changes in the ocean e . g . temperature stratification circulation patterns and Understanding how the earth system history informs our understanding of the effects of ocean acidification on the present day and future ocean . The Ocean Acidification program is in its fifth and anticipated last year of competition . We expect this to be the last solicitation specifically targeting Ocean Acidification .,temperature stratification circulation patterns and Understanding how the earth system history informs our understanding of the effects of ocean acidification on the present day and future ocean .,"[""ocean"",""acidification"",""nderstanding"",""cean"",""he""]"
6068,nsf,nsf09613,OBSIP Management Office OMO,1/4/2010,https://www.nsf.gov/pubs/2009/nsf09613/nsf09613.htm,"3,600,000",SUMMARY OF PROGRAM REQUIREMENTSThe academic community is addressing science questions as described for example in the 1996 Future of Marine Geology and Geophysics FUMAGES report that require short and long term deployments of large numbers of ocean bottom seismometers and or ocean bottom hydrophones . In addition to supporting research funded through the NSF Division of Ocean Sciences OCE Marine Geology Geophysics Core Program there is increasing use of ocean bottom seismometers by the EarthScope Continental Dynamics Ocean Drilling Program Ridge2000 and MARGINS Programs . To provide the large number of instruments needed to support these programs maintain the necessary technical capability and provide access to Ocean Bottom Seismic Instruments for a broad user community the Ocean Bottom Seismic Instrument Pools OBSIP were established in 1999 . In light of the continuing demand for ocean bottom seismometers the Marine Geology and Geophysics Program of OCE invites proposals to establish a Management Office for OBSIP .,,"[""ocean"",""cean"",""bottom"",""eophysics""]"
6069,nsf,nsf10570,OBSIP Management Office OMO,12/1/2010,https://www.nsf.gov/pubs/2010/nsf10570/nsf10570.htm,"3,900,000",SUMMARY OF PROGRAM REQUIREMENTSThe academic community is addressing science questions as described for example in the 1996 Future of Marine Geology and Geophysics FUMAGES report that require short and long term deployments of large numbers of ocean bottom seismometers and or ocean bottom hydrophones . In addition to supporting research funded through the NSF Division of Ocean Sciences OCE Marine Geology Geophysics Core Program there is increasing use of ocean bottom seismometers by the EarthScope Continental Dynamics Ocean Drilling Program Ridge2000 and MARGINS Programs . To provide the large number of instruments needed to support these programs maintain the necessary technical capability and provide access to Ocean Bottom Seismic Instruments for a broad user community the Ocean Bottom Seismic Instrument Pools OBSIP were established in 1999 . In light of the continuing demand for ocean bottom seismometers the Marine Geology and Geophysics Program of OCE invites proposals to establish a Management Office for OBSIP .,,"[""bottom"",""cean"",""ocean""]"
6071,nsf,nsf03576,Ocean Observatories Initiative Project Office to Coordinate Ocean Observing Activities,10/27/2003,https://www.nsf.gov/pubs/2003/nsf03576/nsf03576.htm,"1,000,000",The processes that actively shape the earth and ultimately impact society must be investigated over the spatial and temporal scales at which they occur . To characterize the temporal processes occurring in the ocean new types of infrastructure are needed that are capable of providing long term high resolution observations of critical environmental parameters . Such infrastructure will provide a long term ocean presence that will make available novel platforms for oceanographic discovery and facilitate cutting edge oceanographic investigations . Emerging technological capabilities are enabling the investigation of complex earth and ocean processes and the inter linkages among them with a new intellectual approach adaptive observatory science for sustained time series measure ments . This approach will allow the study of multiple inter related properties variables and processes over a range of time scales . With funding from the Major Research Equipment and Facilities Construction MREFC account the Division of Ocean Sciences OCE plans to initiate construction of an integrated observatory network that will provide the oceanographic research and education communities with a new mode of access to the ocean . The OOI has three elements 1 a regional cabled network consisting of interconnected sites on the seafloor spanning several geological and oceanographic features and processes 2 relocatable deep sea buoys that could also be deployed in harsh environments such as the Southern Ocean and 3 new construction or enhancements to existing facilities leading to an expanded network of coastal observatories . The scientific problems driving the need for the OOI are broad in scope and encompass nearly every area of ocean science . Once established the observatories constructed as part of this initiative will provide earth and ocean scientists with unique opportunities to study multiple interrelated processes over timescales ranging from seconds to decades to conduct comparative studies of regional processes and spatial characteristics and to map whole earth and basin scale structures . The Division of Ocean Sciences requests proposals from interested groups for the establishment of a Project Office to coordinate and assist with activities related to ocean observing systems leading to the Ocean Observatories Initiative OOI . Proposals will be accepted from U . S . universities and colleges U . S . non profit non academic organizations and for profit organizations . The Ocean Observatories Project Office will be expected to successfully complete the following tasks Identify and facilitate committees for continued refinement of the OOI network design An advisory structure must be established that provides the scientific leadership required by the community to define user needs for a research observing system that includes global regional and coastal systems . This advisory structure will also have committees targeted to address technical and engineering issues related to the implementation of this research observing system . Develop a consensus vision for the OOI organizational structure governance and operating plans The Project Office will develop a Science Plan for the OOI based on input and recommendations from the advisory structure and then use this Science Plan to develop the various component of a Project Execution Plan for the construction phase of the OOI as outlined in NSF s Facilities Management and Oversight Guide https www . nsf . gov bfa lfp . Identify and engage all constituencies of the ocean science research community in consensus building activities The Project Office will lead coordinate and serve as the community focal point for research observatories in the ocean sciences and will report to NSF regarding these activities . Activities should include those that promote the development of integrated experimentation computation theory and model based simulation . Operate an interactive web site for communicating with the ocean science community in regards to OOI activities and planning The Project Office will develop an interactive website that will serve as the definitive source of information about the OOI for not only the ocean science community but also for operational oceanographers the wider scientific community and the public . The operation of the Ocean Observatories Project Office will require a small team whose credentials must demonstrate expertise and past accomplishments in ocean science development of organizations committee organization and management and interactive web site development usage and maintenance . Expertise must also be provided for technical report editing and web based publications . A Principal Investigator PI must be designated that will have day to day involvement with this effort . Office and meeting facilities must be available for the project including Internet communications capabilities and institutional meeting space necessary to conduct planned activities .,"With funding from the Major Research Equipment and Facilities Construction MREFC account the Division of Ocean Sciences OCE plans to initiate construction of an integrated observatory network that will provide the oceanographic research and education communities with a new mode of access to the ocean .
The Division of Ocean Sciences requests proposals from interested groups for the establishment of a Project Office to coordinate and assist with activities related to ocean observing systems leading to the Ocean Observatories Initiative OOI .
The Ocean Observatories Project Office will be expected to successfully complete the following tasks Identify and facilitate committees for continued refinement of the OOI network design An advisory structure must be established that provides the scientific leadership required by the community to define user needs for a research observing system that includes global regional and coastal systems .
Operate an interactive web site for communicating with the ocean science community in regards to OOI activities and planning The Project Office will develop an interactive website that will serve as the definitive source of information about the OOI for not only the ocean science community but also for operational oceanographers the wider scientific community and the public .
The operation of the Ocean Observatories Project Office will require a small team whose credentials must demonstrate expertise and past accomplishments in ocean science development of organizations committee organization and management and interactive web site development usage and maintenance .","[""ocean"",""he""]"
6074,nsf,nsf11586,Ocean Sciences Postdoctoral Research Fellowships OCE PRF Broadening Participation,1/13/2012,https://www.nsf.gov/pubs/2011/nsf11586/nsf11586.htm,"850,000",The Division of Ocean Sciences OCE offers Postdoctoral Research Fellowships to increase the participation of under represented groups in the ocean sciences . Awards are intended to support the individual fellows research and increase the diversity of the U . S . ocean sciences research community . In this solicitation the term under represented groups will refer to and include the following women persons with disabilities African Americans Hispanics Native Americans Alaska Natives and Pacific Islanders . Fellowships are awards to individuals not organizations and are administered by the fellows .,Awards are intended to support the individual fellows research and increase the diversity of the U .,"[""increase"",""represented"",""fellows"",""sciences"",""groups"",""research"",""mericans""]"
6075,nsf,nsf13504,Ocean Sciences Postdoctoral Research Fellowships OCE PRF Broadening Participation,1/14/2013,https://www.nsf.gov/pubs/2013/nsf13504/nsf13504.htm,"850,000",The Division of Ocean Sciences OCE offers Postdoctoral Research Fellowships to increase the participation of under represented groups in the ocean sciences . Awards are intended to support the individual fellows research and increase the diversity of the U . S . ocean sciences research community . In this solicitation the term under represented groups will refer to and include the following women persons with disabilities African Americans Hispanics Native Americans Alaska Natives and Pacific Islanders . Fellowships are awards to individuals not organizations and are administered by the fellows .,Awards are intended to support the individual fellows research and increase the diversity of the U .,"[""fellows"",""increase"",""mericans"",""research"",""ellowships"",""ocean"",""sciences"",""represented""]"
6079,nsf,nsf13603,Ocean Sciences Postdoctoral Research Fellowships OCE PRF Broadening Participation and International,1/13/2014,https://www.nsf.gov/pubs/2013/nsf13603/nsf13603.htm,"3,098,000",The Division of Ocean Sciences OCE offers postdoctoral research fellowships to provide opportunities for scientists early in their careers to work within and across traditional disciplinary lines develop partnerships and avail themselves of unique resources sites and facilities . The fellowship program is intended to recognize beginning investigators of significant potential and provide them with experience that will establish them in positions of leadership in the scientific community . During tenure fellows will affiliate with an appropriate research institution s and conduct research on topics supported by OCE . The OCE fellowship program has two tracks 1 Traick 1 Broadening Participation and 2 Track 2 International . Fellowships are awards to individuals not organizations and are administered by the fellows .,The OCE fellowship program has two tracks 1 Traick 1 Broadening Participation and 2 Track 2 International .,"[""research"",""he""]"
6080,nsf,nsf14607,Ocean Sciences Postdoctoral Research Fellowships OCE PRF Broadening Participation and International,12/8/2014,https://www.nsf.gov/pubs/2014/nsf14607/nsf14607.htm,"3,098,000",The Division of Ocean Sciences OCE offers postdoctoral research fellowships to provide opportunities for scientists early in their careers to work within and across traditional disciplinary lines develop partnerships and avail themselves of unique resources sites and facilities . The fellowship program is intended to recognize beginning investigators of significant potential and provide them with experience that will establish them in positions of leadership in the scientific community . During tenure fellows will affiliate with an appropriate research institution s and conduct research on topics supported by OCE . The OCE fellowship program has two tracks 1 Track 1 Broadening Participation and 2 Track 2 International . Fellowships are awards to individuals not organizations and are administered by the fellows .,The OCE fellowship program has two tracks 1 Track 1 Broadening Participation and 2 Track 2 International .,"[""he"",""research""]"
6083,nsf,nsf11578,Ocean Sciences Research Initiation Grants OCE RIG Broadening Participation,1/13/2012,https://www.nsf.gov/pubs/2011/nsf11578/nsf11578.htm,"600,000",The Division of Ocean Sciences OCE offers Research Initiation Grants in an effort to increase the participation of under represented groups in the ocean sciences . Research Initiation Grants provide start up funding for researchers who have been recently appointed to tenure track or equivalent positions with the twin goals of enhancing the development of their research careers and broadening the participation of under represented groups in ocean sciences . In this solicitation the term under represented groups will refer to and include the following women persons with disabilities African Americans Hispanics Native Americans Alaska Natives and Pacific Islanders .,,"[""represented"",""groups"",""sciences"",""nitiation"",""participation""]"
6084,nsf,nsf13505,Ocean Sciences Research Initiation Grants OCE RIG Broadening Participation,1/14/2013,https://www.nsf.gov/pubs/2013/nsf13505/nsf13505.htm,"600,000",The Division of Ocean Sciences OCE offers Research Initiation Grants in an effort to increase the participation of under represented groups in the ocean sciences . Research Initiation Grants provide start up funding for researchers who have been recently appointed to tenure track or equivalent positions with the twin goals of enhancing the development of their research careers and broadening the participation of under represented groups in ocean sciences . In this solicitation the term under represented groups will refer to and include the following women persons with disabilities African Americans Hispanics Native Americans Alaska Natives and Pacific Islanders .,,"[""groups"",""represented"",""sciences"",""nitiation"",""esearch"",""ocean""]"
6090,nsf,nsf13606,Ocean Sciences Research Initiation Grants OCE RIG Broadening Participation,1/13/2014,https://www.nsf.gov/pubs/2013/nsf13606/nsf13606.htm,"600,000",The Division of Ocean Sciences OCE offers Research Initiation Grants in an effort to increase the participation of under represented groups in the ocean sciences . Research Initiation Grants provide start up funding for researchers who have been recently appointed to tenure track or equivalent positions with the twin goals of enhancing the development of their research careers and broadening the participation of under represented groups in ocean sciences . In this solicitation the term under represented groups will refer to and include the following veterans persons with disabilities African Americans Hispanics Native Americans Alaska Natives and Pacific Islanders .,,"[""represented"",""groups"",""sciences"",""nitiation"",""participation""]"
